name,awards,university
Jack Minker,3,Brooklyn College
Marvin Minsky,7,Harvard University
James G. Mitchell,1,University of Waterloo
Tom M. Mitchell,2,Stanford University
Arvind (computer scientist),0,IIT Kanpur
Paul Mockapetris,4,Massachusetts Institute of Technology
Cleve Moler,2,California Institute of Technology
Faron Moller,0,University of British Columbia
Edward F. Moore,0,Virginia Tech
Gordon Moore,11,"University of California, Berkeley"
Roger Moore (computer scientist),2,Stanford University
Hans Moravec,0,Acadia University
Carroll Morgan (computer scientist),0,Doctor of Philosophy
Robert Tappan Morris,0,Harvard University
Joel Moses,0,Bachelor of Arts
Rajeev Motwani,1,"St. Columba%27s School, Delhi"
Stephen Muggleton,5,University of Edinburgh
Alan Mycroft,0,University of Cambridge
Brad A. Myers,4,University of Toronto
Makoto Nagao,6,Kyoto University
Roger Needham,1,Doncaster Grammar School
Greg Nelson (computer scientist),1,Harvard University
Allen Newell,5,Stanford University
Max Newman,4,"St John%27s College, Cambridge"
Andrew Ng,10,Raffles Institution
Nils John Nilsson,0,Stanford University
Maurice Nivat,7,Joseph Fourier University
Phiwa Nkambule,6,University of Pretoria
Jerre Noe,0,"University of California, Berkeley"
Peter Nordin,0,Technical University of Dortmund
Donald Norman,0,Massachusetts Institute of Technology
Peter Norvig,3,Brown University
George Novacky,0,University of Pittsburgh
Kristen Nygaard,4,Master of Science
Martin Odersky,0,Ludwig Maximilian University of Munich
Steve Omohundro,0,Stanford University
John Ousterhout,2,Bachelor%27s degree
Mark Overmars,0,Utrecht University
Susan Owicki,0,Cornell University
Larry Page,0,University of Michigan
Sankar Pal,2,Rajabazar Science College
Christos Papadimitriou,5,National Technical University of Athens
David Park (computer scientist),0,University of Oxford
David Patterson (computer scientist),9,"South High School (Torrance, California)"
Mike Paterson,2,Doctor of Philosophy
Lawrence Paulson,2,California Institute of Technology
Randy Pausch,5,Brown University
Judea Pearl,7,Technion %E2%80%93 Israel Institute of Technology
Alan Perlis,2,Chemistry
Radia Perlman,0,MIT
Simon Peyton Jones,2,University of Cambridge
Kathy Pham,0,Georgia Institute of Technology
Keshav K Pingali,3,IIT Kanpur
Gordon Plotkin,3,University of Glasgow
Willem van der Poel,1,Delft University of Technology
Cicely Popplewell,0,University of Cambridge
Emil Post,0,City College of New York
Jon Postel,3,"University of California, Los Angeles"
Franco Preparata,1,University of Rome La Sapienza
William H. Press,0,Harvard University
Grzegorz Rozenberg,0,Polish Academy of Sciences
Michael O. Rabin,10,Hebrew University of Jerusalem
Brian Randell,0,Imperial College London
Anders P. Ravn,1,University of Copenhagen
Raj Reddy,4,University of Madras
David P. Reed,0,MIT
John C. Reynolds,1,Purdue University
Joyce K. Reynolds,0,University of Southern California
Reinder van de Riet,0,University of Amsterdam
Martin Richards (computer scientist),0,University of Cambridge
C. J. van Rijsbergen,0,University of Western Australia
Dennis Ritchie,10,Harvard University
Ron Rivest,5,Stanford University
Ken Robinson (computer scientist),1,University of Sydney
Douglas T. Ross,2,Oberlin College
Guido van Rossum,1,University of Amsterdam
Rudy Rucker,0,St. Xavier High School (Louisville)
Jeff Rulifson,0,University of Washington
George Sadowsky,0,Harvard University
Mehrnoosh Sadrzadeh,0,Universit%C3%A9 du Qu%C3%A9bec %C3%A0 Montr%C3%A9al
Gerard Salton,0,Brooklyn College
Jean E. Sammet,2,Mount Holyoke College
Carl Sassenrath,0,"University of California, Davis"
Mahadev Satyanarayanan,5,https://www.cmu.edu/
Walter Savitch,0,"University of California, Berkeley"
Jonathan Schaeffer,2,University of Waterloo
Steve Schneider (computer scientist),0,University of Oxford
Bruce Schneier,0,American University
Fred B. Schneider,1,Stony Brook University
Sarita Schoenebeck,0,Georgia Institute of Technology
Dana Scott,6,"University of California, Berkeley"
Robert Sedgewick (computer scientist),2,Brown University
Ravi Sethi,0,"Indian Institute of Technology, Kanpur"
Nigel Shadbolt,1,Newcastle University
Adi Shamir,7,Tel Aviv University
Claude Shannon,10,University of Michigan
David E. Shaw,0,"University of California, San Diego"
Scott Shenker,5,Brown University
Ben Shneiderman,1,City College of New York
Edward H. Shortliffe,0,Harvard University
Daniel Siewiorek,2,University of Michigan
Joseph Sifakis,2,National Technical University of Athens
Herbert A. Simon,10,University of Chicago
Munindar P. Singh,6,University of Texas at Austin
Ramesh Sitaraman,0,"Indian Institute of Technology, Madras"
Daniel Sleator,1,University of Illinois at Urbana%E2%80%93Champaign
Brian Cantwell Smith,0,Massachusetts Institute of Technology
David Canfield Smith,0,Oberlin College
Carol Spradling,0,University of Nebraska - Lincoln
Rohini Kesavan Srihari,0,University of Waterloo
Sargur Srihari,2,Bangalore University
Maciej Stachowiak,0,MIT Electrical Engineering and Computer Science Department
Richard Stallman,5,Harvard University
Richard E. Stearns,3,Carleton College
"Guy L. Steele, Jr.",2,Bachelor of Arts
Thomas Sterling (computing),6,Old Dominion University
W. Richard Stevens,0,University of Michigan
Michael Stonebraker,2,Princeton University
Christopher Strachey,0,Gresham%27s School
Volker Strassen,0,University of G%C3%B6ttingen
Bjarne Stroustrup,11,Aarhus University
Madhu Sudan,1,IIT Delhi
Gerald Jay Sussman,2,Bachelor of Science
Bert Sutherland,1,Rensselaer Polytechnic Institute
Ivan Sutherland,8,MIT
Latanya Sweeney,0,Harvard University
Mario Szegedy,1,University of Chicago
Andrew S. Tanenbaum,0,Massachusetts Institute of Technology
Austin Tate,1,Lancaster University
Bernhard Thalheim,2,Dresden University of Technology
Robert Tarjan,3,California Institute of Technology
Valerie Taylor (computer scientist),3,Purdue University
Jaime Teevan,5,Yale University
Shang-Hua Teng,4,Shanghai Jiao Tong University
Larry Tesler,0,Stanford University
Charles P. Thacker,6,"University of California, Berkeley"
Daniel Thalmann,1,University of Geneva
Ken Thompson,11,"University of California, Berkeley"
Simon Thompson (professor),0,Doctor of Philosophy
Sebastian Thrun,3,University of Bonn
Walter F. Tichy,0,Technische Universit%C3%A4t M%C3%BCnchen
Chai Keong Toh,8,University of Cambridge
Linus Torvalds,0,University of Helsinki
Leonardo Torres Quevedo,9,/w/index.php?title=Official School of the Road Engineers%27 Corps of Madrid&action=edit&redlink=1
Gloria Townsend,1,Indiana University
John Tukey,7,Brown University
Alan Turing,1,Sherborne School
David Turner (computer scientist),0,Doctor of Philosophy
Murray Turoff,1,University of California - Berkeley
Jeffrey D. Ullman,3,Columbia University
Leslie Valiant,6,University of Cambridge
Vladimir Vapnik,11,Russian Academy of Sciences
Moshe Vardi,8,Bar-Ilan University
Dorothy Vaughan,0,Wilberforce University
Bernard Vauquois,0,Doctor of Philosophy
Umesh Vazirani,1,MIT
Manuela M. Veloso,4,Instituto Superior T%C3%A9cnico
Sergiy Vilkomir,2,Kharkov State University
Paul Vitanyi,0,Delft University of Technology
Andrew Viterbi,8,Massachusetts Institute of Technology
Paul Vixie,0,Keio University
Eiiti Wada,0,University of Tokyo
David Waltz,2,Massachusetts Institute of Technology
James Z. Wang,0,Stanford University
Manfred K. Warmuth,1,"University of Colorado, Boulder"
David H. D. Warren,0,University of Edinburgh
Kevin Warwick,5,Aston University
Jan Weglarz,0,Pozna%C5%84 University of Technology
Philip Wadler,4,Stanford University
Peter Wegner,2,#cite note-mathgene-1
Joseph Henry Wegstein,0,University of Illinois
Peter J. Weinberger,0,"University of California, Berkeley"
Mark Weiser,0,New College of Florida
Joseph Weizenbaum,0,Wayne State University
David Wheeler (computer scientist),3,University of Cambridge
Jennifer Widom,6,Cornell University
Gio Wiederhold,3,"University of California, San Francisco"
Norbert Wiener,2,Tufts College
Adriaan van Wijngaarden,1,Delft University of Technology
Mary Allen Wilkes,0,Wellesley College
Maurice Vincent Wilkes,6,"King Edward VI College, Stourbridge"
Yorick Wilks,0,University of Cambridge
James H. Wilkinson,4,"Trinity College, Cambridge"
Sophie Wilson,8,"Selwyn College, Cambridge"
Shmuel Winograd,0,New York University
Terry Winograd,1,Colorado College
Patrick Winston,1,MIT
Niklaus Wirth,7,Bachelor of Science
Neil Wiseman,0,University of Cambridge
Stephen Wolfram,1,Dragon School
Mike Woodger,0,University College London
Philip Woodward,6,Oxford University
Beatrice Helen Worsley,0,University of Toronto
Steve Wozniak,0,University of Colorado Boulder
William Wulf,0,University of Illinois Urbana-Champaign
Mihalis Yannakakis,1,National Technical University of Athens
Andrew Chi-Chih Yao,4,National Taiwan University
John Yen,3,"University of California, Berkeley"
Nobuo Yoneda,0,University of Tokyo
Edward Yourdon,0,Massachusetts Institute of Technology
Moti Yung,6,Columbia University
Lotfi Zadeh,15,University of Tehran
Arif Zaman,0,Stanford University
Stanley Zdonik,0,Massachusetts Institute of Technology
Hussein Zedan,0,University of Bristol
Shlomo Zilberstein,0,"University of California, Berkeley"
Jill Zimmerman,0,Purdue University
Mark Zuckerberg,0,Harvard University
Konrad Zuse,7,Technical University of Berlin
